model,scenario,quad_coef,quad_p,llm_peak_rank,oracle_peak_rank,quad_p_bh
gemini-2.5-flash,s01_health,-1.3809523809523798,1.510057194812098e-07,2.4637931034482787,2,4.530171584436294e-07
gemini-2.5-flash,s02_grant,-0.9861111111111035,5.707538218406762e-05,2.236418511066402,2,8.561307327610144e-05
gemini-2.5-flash,s03_board,-0.835317460317457,0.001479291847309011,3.049168646080764,2,0.0019019466608258713
llama-3.3-70b-instruct,s01_health,-0.7817460317460295,1.736640806689597e-06,2.596446700507618,2,3.125953452041275e-06
llama-3.3-70b-instruct,s02_grant,-0.39285714285713785,0.08328489789786969,1.4393939393939281,2,0.08328489789786969
llama-3.3-70b-instruct,s03_board,-0.9523809523809496,2.992083576878239e-07,2.9000000000000017,2,6.732188047976038e-07
qwen3-235b-a22b-2507,s01_health,-0.8932539682539669,9.840065373442154e-13,2.1357174589071533,2,4.428029418048969e-12
qwen3-235b-a22b-2507,s02_grant,-0.2301587301587277,0.06069814099516188,2.0948275862068964,2,0.06828540861955712
qwen3-235b-a22b-2507,s03_board,-0.9603174603174589,4.160603623578463e-14,2.7582644628099184,2,3.7445432612206167e-13
