model,scenario,n,spearman_ref,ci_lo,ci_hi,p,spearman_inferred,p_bh
gemini-2.5-flash,s01_health,210,0.25996212124596757,0.12815659425394973,0.39895533557045887,0.00013871712040241802,0.19390496700374268,0.0002740684844568866
gemini-2.5-flash,s02_grant,210,0.1651799508089284,0.020145667261740167,0.3091546157345926,0.01658057624126046,0.23052834586586096,0.018653148271418018
gemini-2.5-flash,s03_board,210,0.1036778068434849,-0.039638713456817534,0.2393422784024078,0.13426190451922754,-0.03797250461340917,0.13426190451922754
llama-3.3-70b-instruct,s01_health,210,0.2792302893565187,0.1489572143722564,0.4012195214082821,4.056948788402753e-05,0.20219570045295224,0.00012170846365208258
llama-3.3-70b-instruct,s02_grant,210,0.2584407908816089,0.11807702361771,0.3892108405075714,0.00015226026914271477,0.22735719804715535,0.0002740684844568866
llama-3.3-70b-instruct,s03_board,210,0.2393629717322789,0.1043390347742297,0.36828261573407634,0.0004670095731058858,0.13623358319620907,0.0007005143596588287
qwen3-235b-a22b-2507,s01_health,210,0.5314882903618903,0.4215755956370444,0.6302193861794899,1.0436089163426463e-16,0.387015349262826,9.392480247083818e-16
qwen3-235b-a22b-2507,s02_grant,210,0.1757820855399019,0.03427857051846754,0.3071748273198706,0.010709955179657532,0.22821380339830508,0.0137699423738454
qwen3-235b-a22b-2507,s03_board,210,0.35834372833162237,0.23123651364291253,0.4769687739784772,9.278711231550997e-08,0.1459969269847922,4.1754200541979486e-07
